Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,BSA,Budget_SubActivity_BSA_Title,Add_Non_Add,Include_In_TOA,FY_2025_Actuals,FY_2025_Reconciliation,FY_2025_Total,FY_2026_Discretionary_Enacted,FY_2026_PL119_21_Spend_Plan,FY_2026_Total,FY_2027_Discretionary_Request,FY_2027_Mandatory_Request,FY_2027_Total,Classification
3500F,"Military Personnel, Air Force",F,02,Pay and allowances of enlisted personnel,066,Thrift Savings Plan Matching Contributions,Add,Y,238284,,238284,231776,,231776,274594,,274594,U
3500F,"Military Personnel, Air Force",F,02,Pay and allowances of enlisted personnel,080,Basic Allowance for Housing,Add,Y,4887320,,4887320,5306929,496000,5802929,5153110,,5153110,U
3500F,"Military Personnel, Air Force",F,02,Pay and allowances of enlisted personnel,085,Incentive Pays,Add,Y,69330,,69330,52001,,52001,55720,,55720,U
3500F,"Military Personnel, Air Force",F,02,Pay and allowances of enlisted personnel,090,Special Pays,Add,Y,576620,,576620,522974,,522974,587386,,587386,U
3500F,"Military Personnel, Air Force",F,02,Pay and allowances of enlisted personnel,095,Allowances,Add,Y,638087,,638087,432507,0,432507,735610,,735610,U
3500F,"Military Personnel, Air Force",F,02,Pay and allowances of enlisted personnel,100,Separation Pay,Add,Y,86336,,86336,84929,,84929,100681,,100681,U
3500F,"Military Personnel, Air Force",F,02,Pay and allowances of enlisted personnel,105,Social Security Tax,Add,Y,925101,,925101,967146,,967146,1074382,,1074382,U
3500F,"Military Personnel, Air Force",F,02,Pay and allowances of enlisted personnel,115,Basic Allowance for Subsistence,Add,Y,,,,0,,0,1427135,,1427135,U
3500F,"Military Personnel, Air Force",F,02,Pay and allowances of enlisted personnel,120,Subsistence-In-Kind,Add,Y,,,,0,,0,324915,,324915,U
3500F,"Military Personnel, Air Force",F,02,Pay and allowances of enlisted personnel,999,Undistributed,Add,Y,0,,0,0,,0,0,,0,U
3500F,"Military Personnel, Air Force",F,02,Pay and allowances of enlisted personnel,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3500F,"Military Personnel, Air Force",F,03,Pay and allowances of cadets,110,Academy Cadets,Add,Y,102368,,102368,105204,,105204,111532,,111532,U
3500F,"Military Personnel, Air Force",F,03,Pay and allowances of cadets,999,Undistributed,Add,Y,0,,0,,,,,,,U
3500F,"Military Personnel, Air Force",F,04,Subsistence of enlisted personnel,115,Basic Allowance for Subsistence,Add,Y,1290696,,1290696,1348166,,1348166,0,,0,U
3500F,"Military Personnel, Air Force",F,04,Subsistence of enlisted personnel,120,Subsistence-In-Kind,Add,Y,301824,,301824,320251,,320251,0,,0,U
3500F,"Military Personnel, Air Force",F,04,Subsistence of enlisted personnel,999,Undistributed,Add,Y,0,,0,,,,,,,U
3500F,"Military Personnel, Air Force",F,05,Permanent Change of Station Travel,125,Accession Travel,Add,Y,139826,,139826,165866,,165866,176227,,176227,U
3500F,"Military Personnel, Air Force",F,05,Permanent Change of Station Travel,130,Training Travel,Add,Y,89025,,89025,77636,,77636,88279,,88279,U
3500F,"Military Personnel, Air Force",F,05,Permanent Change of Station Travel,135,Operational Travel,Add,Y,338698,,338698,326853,,326853,373930,,373930,U
3500F,"Military Personnel, Air Force",F,05,Permanent Change of Station Travel,140,Rotational Travel,Add,Y,583309,,583309,701385,,701385,732255,,732255,U
3500F,"Military Personnel, Air Force",F,05,Permanent Change of Station Travel,145,Separation Travel,Add,Y,201630,,201630,241861,,241861,251919,,251919,U
3500F,"Military Personnel, Air Force",F,05,Permanent Change of Station Travel,150,Travel of Organized Units,Add,Y,6521,,6521,24896,,24896,29382,,29382,U
3500F,"Military Personnel, Air Force",F,05,Permanent Change of Station Travel,155,Non-Temporary Storage,Add,Y,47927,,47927,41372,,41372,35962,,35962,U
3500F,"Military Personnel, Air Force",F,05,Permanent Change of Station Travel,160,Temporary Lodging Expense,Add,Y,94500,,94500,140250,187519,327769,114929,,114929,U
3500F,"Military Personnel, Air Force",F,05,Permanent Change of Station Travel,165,Other,Add,Y,18932,,18932,30828,,30828,14361,,14361,U
3500F,"Military Personnel, Air Force",F,05,Permanent Change of Station Travel,999,Undistributed,Add,Y,0,,0,0,,0,0,,0,U
3500F,"Military Personnel, Air Force",F,05,Permanent Change of Station Travel,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,170,Apprehension of Military Deserters,Add,Y,26,,26,26,,26,27,,27,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,175,Interest on Uniformed Services Savings,Add,Y,488,,488,1784,,1784,413,,413,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,180,Death Gratuities,Add,Y,20100,,20100,20300,,20300,20700,,20700,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,185,Unemployment Benefits,Add,Y,24119,,24119,24629,,24629,25287,,25287,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,200,Adoption Expenses,Add,Y,201,,201,407,,407,202,,202,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,210,Transportation Subsidy,Add,Y,3596,,3596,7300,,7300,2960,,2960,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,215,Partial Dislocation Allowance,Add,Y,11690,,11690,15371,,15371,13116,,13116,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,216,SGLI Extra Hazard Payments,Add,Y,4560,,4560,4041,,4041,4138,,4138,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,217,Reserve Officers Training Corps (ROTC),Add,Y,36341,,36341,46150,,46150,33880,,33880,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,218,Junior ROTC,Add,Y,19646,,19646,23621,,23621,22226,,22226,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,999,Undistributed,Add,Y,0,,0,,,,0,,0,U
3500F,"Military Personnel, Air Force",F,06,Other Military Personnel Costs,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3500F,"Military Personnel, Air Force",F,20,Undistributed,020,Undistributed,Add,Y,,,,0,,0,0,,0,U
3500F,"Military Personnel, Air Force",F,20,Undistributed,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3500F,"Military Personnel, Air Force",F,,Less Reimbursables,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3500F,"Military Personnel, Air Force",F,,Less Reimbursables,,Less Reimbursables,Add,N,-511887,,-511887,-515190,,-515190,-529181,,-529181,U
1007F,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",F,01,Health care contribution - Officers,300,Air Force,Add,Y,419284,,419284,487858,,487858,538930,,538930,U
1007F,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",F,01,Health care contribution - Officers,999,Undistributed,Add,Y,0,,0,0,,0,0,,0,U
1007F,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",F,01,Health care contribution - Officers,999,Classified Programs,Add,Y,,,,,,,0,,0,U
1007F,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",F,02,Health care contribution - Enlisted,300,Air Force,Add,Y,1772797,,1772797,2027086,,2027086,2267128,,2267128,U
1007F,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",F,02,Health care contribution - Enlisted,999,Undistributed,Add,Y,0,,0,,,,0,,0,U
1007F,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",F,02,Health care contribution - Enlisted,999,Classified Programs,Add,Y,,,,,,,0,,0,U
1007F,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",F,20,UNDISTRIBUTED,999,Classified Programs,Add,Y,,,,,,,0,,0,U
1007F,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",F,20,UNDISTRIBUTED,999,Undistributed,Add,Y,,,,0,,0,,,,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,005,Basic Pay,Add,Y,472451,,472451,527838,,527838,613655,,613655,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,010,Retired Pay Accrual,Add,Y,124764,,124764,127920,,127920,123390,,123390,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,011,Thrift Savings Plan Matching Contributions,Add,Y,8464,,8464,7615,,7615,9118,,9118,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,025,Basic Allowance for Housing,Add,Y,175611,,175611,129692,9000,138692,221381,,221381,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,030,Basic Allowance for Subsistence,Add,Y,18088,,18088,19568,,19568,23030,,23030,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,035,Incentive Pays,Add,Y,88,,88,88,,88,88,,88,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,040,Special Pays,Add,Y,3840,,3840,1690,,1690,6254,,6254,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,045,Allowances,Add,Y,4323,,4323,9046,,9046,5927,,5927,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,050,Separation Pay,Add,Y,2752,,2752,2498,,2498,3704,,3704,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,055,Social Security Tax,Add,Y,36063,,36063,40317,,40317,46869,,46869,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,999,Undistributed,Add,Y,0,,0,0,,0,0,,0,U
3510F,"Military Personnel, Space Force",F,01,Pay and allowances of officers,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,060,Basic Pay,Add,Y,247264,,247264,282012,,282012,338225,,338225,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,065,Retired Pay Accrual,Add,Y,65309,,65309,68378,,68378,68155,,68155,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,066,Thrift Savings Plan Matching Contributions,Add,Y,4850,,4850,4585,,4585,5161,,5161,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,080,Basic Allowance for Housing,Add,Y,114452,,114452,98746,10000,108746,144715,,144715,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,085,Incentive Pays,Add,Y,25,,25,16,,16,25,,25,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,090,Special Pays,Add,Y,41316,,41316,48641,,48641,54426,,54426,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,095,Allowances,Add,Y,8174,,8174,10091,0,10091,16808,,16808,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,100,Separation Pay,Add,Y,1462,,1462,1970,,1970,2972,,2972,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,105,Social Security Tax,Add,Y,18914,,18914,21575,,21575,25876,,25876,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,115,Basic Allowance for Subsistence,Add,Y,,,,0,,0,35461,,35461,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,999,Undistributed,Add,Y,0,,0,0,,0,0,,0,U
3510F,"Military Personnel, Space Force",F,02,Pay and allowances of enlisted personnel,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3510F,"Military Personnel, Space Force",F,04,Subsistence of enlisted personnel,115,Basic Allowance for Subsistence,Add,Y,26966,,26966,30023,,30023,,,,U
3510F,"Military Personnel, Space Force",F,04,Subsistence of enlisted personnel,999,Undistributed,Add,Y,0,,0,,,,,,,U
3510F,"Military Personnel, Space Force",F,05,Permanent change of station travel,125,Accession Travel,Add,Y,5710,,5710,4593,,4593,20448,,20448,U
3510F,"Military Personnel, Space Force",F,05,Permanent change of station travel,130,Training Travel,Add,Y,4612,,4612,8691,,8691,7602,,7602,U
3510F,"Military Personnel, Space Force",F,05,Permanent change of station travel,135,Operational Travel,Add,Y,16923,,16923,24535,,24535,22280,,22280,U
3510F,"Military Personnel, Space Force",F,05,Permanent change of station travel,140,Rotational Travel,Add,Y,9894,,9894,11411,,11411,13593,,13593,U
3510F,"Military Personnel, Space Force",F,05,Permanent change of station travel,145,Separation Travel,Add,Y,5273,,5273,5974,,5974,7485,,7485,U
3510F,"Military Personnel, Space Force",F,05,Permanent change of station travel,150,Travel of Organized Units,Add,Y,447,,447,773,,773,291,,291,U
3510F,"Military Personnel, Space Force",F,05,Permanent change of station travel,155,Non-Temporary Storage,Add,Y,1815,,1815,1735,,1735,1892,,1892,U
3510F,"Military Personnel, Space Force",F,05,Permanent change of station travel,160,Temporary Lodging Expense,Add,Y,2789,,2789,1728,19967,21695,4351,,4351,U
3510F,"Military Personnel, Space Force",F,05,Permanent change of station travel,999,Undistributed,Add,Y,0,,0,0,,0,0,,0,U
3510F,"Military Personnel, Space Force",F,05,Permanent change of station travel,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3510F,"Military Personnel, Space Force",F,06,Other Military Personnel Costs,180,Death Gratuities,Add,Y,400,,400,300,,300,500,,500,U
3510F,"Military Personnel, Space Force",F,06,Other Military Personnel Costs,185,Unemployment Benefits,Add,Y,738,,738,759,,759,610,,610,U
3510F,"Military Personnel, Space Force",F,06,Other Military Personnel Costs,200,Adoption Expenses,Add,Y,17,,17,17,,17,17,,17,U
3510F,"Military Personnel, Space Force",F,06,Other Military Personnel Costs,210,Transportation Subsidy,Add,Y,502,,502,937,,937,506,,506,U
3510F,"Military Personnel, Space Force",F,06,Other Military Personnel Costs,215,Partial Dislocation Allowance,Add,Y,300,,300,824,,824,360,,360,U
3510F,"Military Personnel, Space Force",F,06,Other Military Personnel Costs,216,SGLI Extra Hazard Payments,Add,Y,50,,50,56,,56,53,,53,U
3510F,"Military Personnel, Space Force",F,06,Other Military Personnel Costs,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3510F,"Military Personnel, Space Force",F,06,Other Military Personnel Costs,999,Undistributed,Add,Y,0,,0,,,,,,,U
3510F,"Military Personnel, Space Force",F,20,Undistributed,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3510F,"Military Personnel, Space Force",F,20,Undistributed,999,Undistributed,Add,Y,,,,0,,0,0,,0,U
3510F,"Military Personnel, Space Force",F,,Less Reimbursables,,Less Reimbursables,Add,N,-357,,-357,-300,,-300,-375,,-375,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,010,Pay Group A Training  (15 Days & Drills 24/48),Add,Y,740201,,740201,831757,0,831757,827681,,827681,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,020,Pay Group B Training  (Backfill For Active Duty),Add,Y,114306,,114306,117758,,117758,117117,,117117,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,030,Pay Group F Training  (Recruits),Add,Y,70610,,70610,69989,,69989,93365,,93365,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,040,Pay Group P Training  (Pipeline Recruits),Add,Y,5972,,5972,4143,,4143,4408,,4408,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,060,Mobilization Training,Add,Y,334,,334,340,,340,548,,548,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,070,School Training,Add,Y,230309,,230309,229015,,229015,242762,,242762,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,080,Special Training,Add,Y,379386,,379386,350726,,350726,399711,,399711,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,090,Administration and Support,Add,Y,959217,,959217,1000501,47364,1047865,1053576,,1053576,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,094,Thrift Savings Plan Matching Contributions,Add,Y,16007,,16007,11199,,11199,13769,,13769,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,100,Education Benefits,Add,Y,12253,,12253,15431,,15431,15473,,15473,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,120,Health Profession Scholarship,Add,Y,59530,,59530,68799,,68799,73620,,73620,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,130,Other Programs (Admin & Support),Add,Y,1618,,1618,1457,,1457,2272,,2272,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3700F,"Reserve Personnel, Air Force",F,01,Reserve component training and support,999,Undistributed,Add,Y,0,,0,0,,0,0,,0,U
3700F,"Reserve Personnel, Air Force",F,20,Undistributed,020,Undistributed,Add,Y,,,,0,,0,0,,0,U
3700F,"Reserve Personnel, Air Force",F,20,Undistributed,999,Classified Programs,Add,Y,,,,,,,0,,0,U
1008F,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Pers., AF",F,01,Health care contribution - Reserve component,300,"Reserve Personnel, Air Force",Add,Y,196363,,196363,225940,,225940,247016,,247016,U
1008F,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Pers., AF",F,01,Health care contribution - Reserve component,999,Undistributed,Add,Y,,,,0,,0,0,,0,U
1008F,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Pers., AF",F,01,Health care contribution - Reserve component,999,Classified Programs,Add,Y,,,,,,,0,,0,U
1008F,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Pers., AF",F,20,UNDISTRIBUTED,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3850F,"National Guard Personnel, Air Force",F,01,Reserve component training and support,010,Pay Group A Training  (15 Days & Drills 24/48),Add,Y,957455,,957455,1038404,0,1038404,1134143,,1134143,U
3850F,"National Guard Personnel, Air Force",F,01,Reserve component training and support,030,Pay Group F Training  (Recruits),Add,Y,112065,,112065,92503,,92503,121533,,121533,U
3850F,"National Guard Personnel, Air Force",F,01,Reserve component training and support,040,Pay Group P Training  (Pipeline Recruits),Add,Y,8715,,8715,3521,,3521,8087,,8087,U
3850F,"National Guard Personnel, Air Force",F,01,Reserve component training and support,070,School Training,Add,Y,379821,,379821,375554,,375554,468086,,468086,U
3850F,"National Guard Personnel, Air Force",F,01,Reserve component training and support,080,Special Training,Add,Y,375562,,375562,273636,,273636,375044,,375044,U
3850F,"National Guard Personnel, Air Force",F,01,Reserve component training and support,090,Administration and Support,Add,Y,3393870,,3393870,3643207,119652,3762859,3758649,,3758649,U
3850F,"National Guard Personnel, Air Force",F,01,Reserve component training and support,094,Thrift Savings Plan Matching Contributions,Add,Y,28062,,28062,22975,,22975,29037,,29037,U
3850F,"National Guard Personnel, Air Force",F,01,Reserve component training and support,100,Education Benefits,Add,Y,15933,,15933,17387,,17387,23896,,23896,U
3850F,"National Guard Personnel, Air Force",F,01,Reserve component training and support,999,Undistributed,Add,Y,0,,0,0,,0,0,,0,U
3850F,"National Guard Personnel, Air Force",F,01,Reserve component training and support,999,Classified Programs,Add,Y,,,,,,,0,,0,U
3850F,"National Guard Personnel, Air Force",F,20,Undistributed,020,Undistributed,Add,Y,,,,0,,0,0,,0,U
3850F,"National Guard Personnel, Air Force",F,20,Undistributed,999,Classified Programs,Add,Y,,,,,,,0,,0,U
1009F,"Medicare-Eligible Retiree Health Fund Contribution, Guard Pers., AF",F,01,Health care contribution - Reserve component,300,"National Guard Personnel, Air Force",Add,Y,384233,,384233,430500,,430500,465097,,465097,U
1009F,"Medicare-Eligible Retiree Health Fund Contribution, Guard Pers., AF",F,01,Health care contribution - Reserve component,999,Undistributed,Add,Y,,,,0,,0,0,,0,U
1009F,"Medicare-Eligible Retiree Health Fund Contribution, Guard Pers., AF",F,01,Health care contribution - Reserve component,999,Classified Programs,Add,Y,,,,,,,0,,0,U
1009F,"Medicare-Eligible Retiree Health Fund Contribution, Guard Pers., AF",F,20,UNDISTRIBUTED,999,Classified Programs,Add,Y,,,,,,,0,,0,U
1010F,"Medicare-Eligible Retiree Health Fund Contribution, Space Force",F,01,Health care contribution - Officers,300,Space Force,Add,Y,32010,,32010,38297,,38297,46904,,46904,U
1010F,"Medicare-Eligible Retiree Health Fund Contribution, Space Force",F,01,Health care contribution - Officers,999,Classified Programs,Add,Y,,,,,,,0,,0,U
1010F,"Medicare-Eligible Retiree Health Fund Contribution, Space Force",F,01,Health care contribution - Officers,999,Undistributed,Add,Y,0,,0,0,,0,0,,0,U
1010F,"Medicare-Eligible Retiree Health Fund Contribution, Space Force",F,02,Health care contribution - Enlisted,300,Space Force,Add,Y,35053,,35053,43677,,43677,53414,,53414,U
1010F,"Medicare-Eligible Retiree Health Fund Contribution, Space Force",F,02,Health care contribution - Enlisted,999,Undistributed,Add,Y,0,,0,,,,0,,0,U
1010F,"Medicare-Eligible Retiree Health Fund Contribution, Space Force",F,02,Health care contribution - Enlisted,999,Classified Programs,Add,Y,,,,,,,0,,0,U
1010F,"Medicare-Eligible Retiree Health Fund Contribution, Space Force",F,20,UNDISTRIBUTED,999,Classified Programs,Add,Y,,,,,,,0,,0,U
1010F,"Medicare-Eligible Retiree Health Fund Contribution, Space Force",F,20,UNDISTRIBUTED,999,Undistributed,Add,Y,,,,0,,0,,,,U
